isbn,original_publication_year,language_code,average_rating
439023483,2008,eng,4.34
439554934,1997,eng,4.44
316015849,2005,en-US,3.57
61120081,1960,eng,4.25
743273567,1925,eng,3.89
525478817,2012,eng,4.26
618260307,1937,en-US,4.25
316769177,1951,eng,3.79
1416524797,2000,en-CA,3.85
679783261,1813,eng,4.24
1594480001,2003,eng,4.26
62024035,2011,eng,4.24
451524934,1949,eng,4.14
452284244,1945,eng,3.87
553296981,1947,eng,4.1
307269752,2005,eng,4.11
439023491,2009,eng,4.3
043965548X,1999,eng,4.53
618346252,1954,eng,4.34
439023513,2010,eng,4.03
439358078,2003,eng,4.46
316166685,2002,eng,3.77
439064864,1998,eng,4.37
439139600,2000,eng,4.53
545010225,2007,eng,4.61
307277674,2003,eng,3.79
439785960,2005,eng,4.54
140283331,1954,eng,3.64
743477111,1595,eng,3.73
297859382,2012,eng,4.03
399155341,2009,eng,4.45
142000671,1937,eng,3.84
739326228,1997,eng,4.08
1612130291,2011,eng,3.67
61122416,1988,eng,3.82
385732554,1993,eng,4.12
60764899,1950,eng,4.19
965818675,2003,eng,3.95
553588486,1996,eng,4.45
143038419,2006,eng,3.51
786838655,2005,eng,4.23
451529308,1868,en-US,4.04
142437204,1847,eng,4.1
553816713,1996,eng,4.06
770430074,2001,,3.88
1565125606,2006,eng,4.07
375831002,2005,eng,4.36
307347974,1953,spa,3.97
316160199,2006,eng,3.52
60513039,1974,eng,4.29
1416914285,2007,eng,4.12
316160202,2007,en-US,3.69
375826696,2002,en-US,3.86
345391802,1979,en-US,4.2
60929871,1932,eng,3.97
031606792X,2008,en-US,3.7
142001740,2001,en-US,4.01
142437174,1884,eng,3.8
64410935,1952,eng,4.15
1400032717,2003,eng,3.85
1594633665,2015,eng,3.88
679879242,1995,eng,3.94
393978893,1847,eng,3.82
743454537,2004,eng,4.06
385333846,1969,eng,4.06
446675539,1936,eng,4.28
1594489505,2007,eng,4.34
671027344,1999,eng,4.21
7442912,2012,eng,4.07
812550706,1985,eng,4.3
141439475,1818,eng,3.75
450040186,1977,eng,4.17
316068047,2008,en-US,3.84
142402516,2005,eng,4.09
014028009X,1996,eng,3.75
141439661,1811,eng,4.06
439244196,1998,eng,3.93
307275558,2003,eng,3.7
143039954,-720,eng,3.73
156012197,1946,eng,4.28
074324754X,2005,eng,4.24
385486804,1996,eng,3.94
141439602,1859,eng,3.81
030734813X,1990,spa,3.96
60256656,1964,eng,4.38
385338600,1989,eng,4.03
374500010,1958,eng,4.3
014241493X,2008,en-US,3.88
345418263,1973,en-US,4.25
014038572X,1967,en-US,4.06
385737947,2009,eng,4.02
61234001,2005,en-US,3.93
517189607,1911,eng,4.12
60531045,1967,eng,4.04
375751513,1891,eng,4.06
345803507,2012,eng,3.88
393970124,1897,eng,3.98
307269981,2006,eng,4.22
1612130585,2011,eng,3.87
