books_count,isbn,authors,original_title
272,439023483,Suzanne Collins,The Hunger Games
491,439554934,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone
226,316015849,Stephenie Meyer,Twilight
487,61120081,Harper Lee,To Kill a Mockingbird
1356,743273567,F. Scott Fitzgerald,The Great Gatsby
226,525478817,John Green,The Fault in Our Stars
969,618260307,J.R.R. Tolkien,The Hobbit or There and Back Again
360,316769177,J.D. Salinger,The Catcher in the Rye
311,1416524797,Dan Brown,Angels & Demons
3455,679783261,Jane Austen,Pride and Prejudice
283,1594480001,Khaled Hosseini,The Kite Runner
210,62024035,Veronica Roth,Divergent
995,451524934,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four
896,452284244,George Orwell,Animal Farm: A Fairy Story
710,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944
274,307269752,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor
201,439023491,Suzanne Collins,Catching Fire
376,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",Harry Potter and the Prisoner of Azkaban
566,618346252,J.R.R. Tolkien,The Fellowship of the Ring
239,439023513,Suzanne Collins,Mockingjay
307,439358078,"J.K. Rowling, Mary GrandPré",Harry Potter and the Order of the Phoenix
183,316166685,Alice Sebold,The Lovely Bones
398,439064864,"J.K. Rowling, Mary GrandPré",Harry Potter and the Chamber of Secrets
332,439139600,"J.K. Rowling, Mary GrandPré",Harry Potter and the Goblet of Fire
263,545010225,"J.K. Rowling, Mary GrandPré",Harry Potter and the Deathly Hallows
350,307277674,Dan Brown,The Da Vinci Code
275,439785960,"J.K. Rowling, Mary GrandPré",Harry Potter and the Half-Blood Prince
458,140283331,William Golding,Lord of the Flies
1937,743477111,"William Shakespeare, Robert Jackson",An Excellent conceited Tragedie of Romeo and Juliet
196,297859382,Gillian Flynn,Gone Girl
183,399155341,Kathryn Stockett,The Help
373,142000671,John Steinbeck,Of Mice and Men
220,739326228,Arthur Golden,Memoirs of a Geisha
169,1612130291,E.L. James,Fifty Shades of Grey
458,61122416,"Paulo Coelho, Alan R. Clarke",O Alquimista
192,385732554,Lois Lowry,The Giver
474,60764899,C.S. Lewis,"The Lion, the Witch and the Wardrobe"
167,965818675,Audrey Niffenegger,The Time Traveler's Wife
101,553588486,George R.R. Martin,A Game of Thrones
185,143038419,Elizabeth Gilbert,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia"
159,786838655,Rick Riordan,The Lightning Thief
1707,451529308,Louisa May Alcott,Little Women
2568,142437204,"Charlotte Brontë, Michael Mason",Jane Eyre
190,553816713,Nicholas Sparks,The Notebook
264,770430074,Yann Martel,Life of Pi
128,1565125606,Sara Gruen,Water for Elephants
251,375831002,Markus Zusak,The Book Thief
507,307347974,Ray Bradbury,Fahrenheit 451
194,316160199,Stephenie Meyer,"New Moon (Twilight, #2)"
45,60513039,Shel Silverstein,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein
178,1416914285,Cassandra Clare,City of Bones
185,316160202,Stephenie Meyer,Eclipse
217,375826696,Christopher Paolini,Eragon
257,345391802,Douglas Adams,The Hitchhiker's Guide to the Galaxy
515,60929871,Aldous Huxley,Brave New World
183,031606792X,Stephenie Meyer,Breaking Dawn
125,142001740,Sue Monk Kidd,The Secret Life of Bees
2277,142437174,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn
180,64410935,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web
183,1400032717,Mark Haddon,The Curious Incident of the Dog in the Night-Time
14,1594633665,Paula Hawkins,The Girl on the Train
287,679879242,Philip Pullman,Northern Lights
2498,393978893,"Emily Brontë, Richard J. Dunn",Wuthering Heights
125,743454537,Jodi Picoult,My Sister's Keeper
241,385333846,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death"
409,446675539,Margaret Mitchell,Gone with the Wind
197,1594489505,Khaled Hosseini,A Thousand Splendid Suns
128,671027344,Stephen Chbosky,The Perks of Being a Wallflower
164,7442912,Veronica Roth,Insurgent
224,812550706,Orson Scott Card,Ender's Game
2618,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein; or, The Modern Prometheus"
289,450040186,Stephen King,The Shining
161,316068047,Stephenie Meyer,The Host
187,142402516,John Green,Looking for Alaska
193,014028009X,Helen Fielding,
1969,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility
138,439244196,"Louis Sachar, Louis Sachar",Holes
129,307275558,Lauren Weisberger,The Devil Wears Prada
1703,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Ὀδύσσεια
1708,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Le Petit Prince
92,074324754X,Jeannette Walls,The Glass Castle
108,385486804,Jon Krakauer,Into the Wild
525,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities
176,030734813X,Michael Crichton,Jurassic Park
81,60256656,Shel Silverstein,The Giving Tree
158,385338600,John Grisham,A Time to Kill
109,374500010,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign
178,014241493X,John Green,Paper Towns
129,345418263,William Goldman,The Princess Bride
156,014038572X,S.E. Hinton,The Outsiders
147,385737947,James Dashner,The Maze Runner
124,61234001,"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
1350,517189607,Frances Hodgson Burnett,The Secret Garden
555,60531045,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad
2303,375751513,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray
133,345803507,E.L. James,Fifty Shades Freed
2207,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula
209,307269981,"Stieg Larsson, Reg Keeland",Flickan som lekte med elden
147,1612130585,E.L. James,Fifty Shades Darker
